scale,client_id,case_name,expected_result,slack_ppm,slack_abs,clip_bound_ok,clip_lhs_sum_sq,clip_rhs_bound_sq,clip_bound_excess,clip_bound_excess_ppm,relation_exact,tamper_delta,param_count,local_loss
100,0,honest_clip,pass,0,0,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,honest_clip,pass,100,1,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,honest_clip,pass,500,5,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,honest_clip,pass,1000,10,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,honest_clip,pass,5000,50,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,honest_clip,pass,20000,200,True,9858,10000,0,0.0,True,0,10,0.475945
100,0,tampered_clip,fail,0,0,False,10733,10000,733,73300.0,True,5,10,0.475945
100,0,tampered_clip,fail,100,1,False,10733,10000,733,73300.0,True,5,10,0.475945
100,0,tampered_clip,fail,500,5,False,10733,10000,733,73300.0,True,5,10,0.475945
100,0,tampered_clip,fail,1000,10,False,10733,10000,733,73300.0,True,5,10,0.475945
100,0,tampered_clip,fail,5000,50,False,10733,10000,733,73300.0,True,5,10,0.475945
100,0,tampered_clip,fail,20000,200,False,10733,10000,733,73300.0,True,5,10,0.475945
100,1,honest_clip,pass,0,0,False,10007,10000,7,700.0,True,0,10,0.476529
100,1,honest_clip,pass,100,1,False,10007,10000,7,700.0,True,0,10,0.476529
100,1,honest_clip,pass,500,5,False,10007,10000,7,700.0,True,0,10,0.476529
100,1,honest_clip,pass,1000,10,True,10007,10000,7,700.0,True,0,10,0.476529
100,1,honest_clip,pass,5000,50,True,10007,10000,7,700.0,True,0,10,0.476529
100,1,honest_clip,pass,20000,200,True,10007,10000,7,700.0,True,0,10,0.476529
100,1,tampered_clip,fail,0,0,False,10892,10000,892,89200.0,True,5,10,0.476529
100,1,tampered_clip,fail,100,1,False,10892,10000,892,89200.0,True,5,10,0.476529
100,1,tampered_clip,fail,500,5,False,10892,10000,892,89200.0,True,5,10,0.476529
100,1,tampered_clip,fail,1000,10,False,10892,10000,892,89200.0,True,5,10,0.476529
100,1,tampered_clip,fail,5000,50,False,10892,10000,892,89200.0,True,5,10,0.476529
100,1,tampered_clip,fail,20000,200,False,10892,10000,892,89200.0,True,5,10,0.476529
100,2,honest_clip,pass,0,0,False,10042,10000,42,4200.0,True,0,10,0.474137
100,2,honest_clip,pass,100,1,False,10042,10000,42,4200.0,True,0,10,0.474137
100,2,honest_clip,pass,500,5,False,10042,10000,42,4200.0,True,0,10,0.474137
100,2,honest_clip,pass,1000,10,False,10042,10000,42,4200.0,True,0,10,0.474137
100,2,honest_clip,pass,5000,50,True,10042,10000,42,4200.0,True,0,10,0.474137
100,2,honest_clip,pass,20000,200,True,10042,10000,42,4200.0,True,0,10,0.474137
100,2,tampered_clip,fail,0,0,False,10897,10000,897,89700.0,True,5,10,0.474137
100,2,tampered_clip,fail,100,1,False,10897,10000,897,89700.0,True,5,10,0.474137
100,2,tampered_clip,fail,500,5,False,10897,10000,897,89700.0,True,5,10,0.474137
100,2,tampered_clip,fail,1000,10,False,10897,10000,897,89700.0,True,5,10,0.474137
100,2,tampered_clip,fail,5000,50,False,10897,10000,897,89700.0,True,5,10,0.474137
100,2,tampered_clip,fail,20000,200,False,10897,10000,897,89700.0,True,5,10,0.474137
1000,0,honest_clip,pass,0,0,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,honest_clip,pass,100,100,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,honest_clip,pass,500,500,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,honest_clip,pass,1000,1000,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,honest_clip,pass,5000,5000,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,honest_clip,pass,20000,20000,True,987958,1000000,0,0.0,True,0,10,0.475945
1000,0,tampered_clip,fail,0,0,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,0,tampered_clip,fail,100,100,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,0,tampered_clip,fail,500,500,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,0,tampered_clip,fail,1000,1000,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,0,tampered_clip,fail,5000,5000,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,0,tampered_clip,fail,20000,20000,False,1075558,1000000,75558,75558.0,True,50,10,0.475945
1000,1,honest_clip,pass,0,0,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,honest_clip,pass,100,100,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,honest_clip,pass,500,500,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,honest_clip,pass,1000,1000,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,honest_clip,pass,5000,5000,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,honest_clip,pass,20000,20000,True,992923,1000000,0,0.0,True,0,10,0.476529
1000,1,tampered_clip,fail,0,0,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,1,tampered_clip,fail,100,100,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,1,tampered_clip,fail,500,500,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,1,tampered_clip,fail,1000,1000,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,1,tampered_clip,fail,5000,5000,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,1,tampered_clip,fail,20000,20000,False,1081023,1000000,81023,81023.0,True,50,10,0.476529
1000,2,honest_clip,pass,0,0,False,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,honest_clip,pass,100,100,False,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,honest_clip,pass,500,500,True,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,honest_clip,pass,1000,1000,True,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,honest_clip,pass,5000,5000,True,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,honest_clip,pass,20000,20000,True,1000447,1000000,447,447.0,True,0,10,0.474137
1000,2,tampered_clip,fail,0,0,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,100,100,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,500,500,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,1000,1000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,5000,5000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
1000,2,tampered_clip,fail,20000,20000,False,1085747,1000000,85747,85747.0,True,50,10,0.474137
10000,0,honest_clip,pass,0,0,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,100,10000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,500,50000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,1000,100000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,5000,500000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,honest_clip,pass,20000,2000000,True,98890825,100000000,0,0.0,True,0,10,0.475945
10000,0,tampered_clip,fail,0,0,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,100,10000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,500,50000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,1000,100000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,5000,500000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,0,tampered_clip,fail,20000,2000000,False,107653825,100000000,7653825,76538.25,True,500,10,0.475945
10000,1,honest_clip,pass,0,0,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,100,10000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,500,50000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,1000,100000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,5000,500000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,honest_clip,pass,20000,2000000,True,99337085,100000000,0,0.0,True,0,10,0.476529
10000,1,tampered_clip,fail,0,0,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,100,10000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,500,50000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,1000,100000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,5000,500000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,1,tampered_clip,fail,20000,2000000,False,108148085,100000000,8148085,81480.85,True,500,10,0.476529
10000,2,honest_clip,pass,0,0,False,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,100,10000,False,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,500,50000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,1000,100000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,5000,500000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,honest_clip,pass,20000,2000000,True,100010941,100000000,10941,109.41,True,0,10,0.474137
10000,2,tampered_clip,fail,0,0,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,100,10000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,500,50000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,1000,100000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,5000,500000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
10000,2,tampered_clip,fail,20000,2000000,False,108536941,100000000,8536941,85369.41,True,500,10,0.474137
